frame,landmark,x,y,visibility
0,0,0.2512850761413574,0.3915743827819824,0.9998236298561096
0,1,0.2541867792606354,0.38459131121635437,0.9995123147964478
0,2,0.25698423385620117,0.3846858739852905,0.9994497895240784
0,3,0.25894609093666077,0.38481464982032776,0.9996235370635986
0,4,0.2444632649421692,0.38449952006340027,0.9997217059135437
0,5,0.23971737921237946,0.3846132159233093,0.999729335308075
0,6,0.23523102700710297,0.3846874237060547,0.9998071789741516
0,7,0.25289613008499146,0.3877495527267456,0.9996776580810547
0,8,0.222618967294693,0.38743507862091064,0.9996008276939392
0,9,0.2519999146461487,0.3994770348072052,0.999882698059082
0,10,0.24138660728931427,0.3986473083496094,0.9999030828475952
0,11,0.2761651873588562,0.4412572979927063,0.9999574422836304
0,12,0.16540399193763733,0.42527446150779724,0.9999511241912842
0,13,0.27194923162460327,0.4875783324241638,0.8123395442962646
0,14,0.10646744072437286,0.4648672044277191,0.9954138398170471
0,15,0.2785966992378235,0.4974893629550934,0.9496000409126282
0,16,0.10414346307516098,0.5202316045761108,0.9945204854011536
0,17,0.2816714942455292,0.5019870400428772,0.9604229927062988
0,18,0.09682512283325195,0.5355411171913147,0.9879648685455322
0,19,0.2836896777153015,0.49310100078582764,0.9664770364761353
0,20,0.10415779799222946,0.5363991260528564,0.9900122284889221
0,21,0.2789899706840515,0.4912315309047699,0.941886842250824
0,22,0.11023369431495667,0.5325878858566284,0.983077347278595
0,23,0.22299133241176605,0.53605055809021,0.9999130964279175
0,24,0.16044841706752777,0.534758985042572,0.9998682737350464
0,25,0.21271292865276337,0.6108688712120056,0.9904299378395081
0,26,0.17121568322181702,0.6153553128242493,0.969475507736206
0,27,0.18284958600997925,0.6789126992225647,0.9932510256767273
0,28,0.13383474946022034,0.6084203124046326,0.6177579164505005
0,29,0.1727602183818817,0.6890634298324585,0.9451565146446228
0,30,0.12834703922271729,0.602084755897522,0.36876219511032104
0,31,0.18355916440486908,0.697748601436615,0.9926099181175232
0,32,0.12856754660606384,0.6439659595489502,0.667218804359436
1,0,0.24999450147151947,0.39157387614250183,0.9998329877853394
1,1,0.252948135137558,0.3846306800842285,0.9995365142822266
1,2,0.25597766041755676,0.38470837473869324,0.9994761347770691
1,3,0.2582767903804779,0.3848148286342621,0.9996406435966492
1,4,0.24261176586151123,0.3845037817955017,0.9997351765632629
1,5,0.23773260414600372,0.38461095094680786,0.9997417330741882
1,6,0.2334395796060562,0.38467541337013245,0.9998151659965515
1,7,0.25264841318130493,0.3877500891685486,0.999690055847168
1,8,0.2221546173095703,0.38748589158058167,0.9996170401573181
1,9,0.2516454756259918,0.3993787467479706,0.9998862743377686
1,10,0.24059709906578064,0.398641973733902,0.9999061822891235
1,11,0.27620062232017517,0.4399099051952362,0.9999586939811707
1,12,0.16539545357227325,0.4245206117630005,0.9999522566795349
1,13,0.27517417073249817,0.4964190125465393,0.8194196224212646
1,14,0.10390783101320267,0.46109598875045776,0.9952666163444519
1,15,0.27864739298820496,0.4914882481098175,0.9519172310829163
1,16,0.10100684314966202,0.5171279311180115,0.9941121339797974
1,17,0.28165876865386963,0.4901808500289917,0.9619632959365845
1,18,0.09250146150588989,0.5326523184776306,0.9871392846107483
1,19,0.2828908860683441,0.47996437549591064,0.9676714539527893
1,20,0.10191364586353302,0.533460795879364,0.9892991781234741
1,21,0.2785031497478485,0.4801958203315735,0.9434579610824585
1,22,0.10855671763420105,0.529619038105011,0.9819551110267639
1,23,0.22247710824012756,0.5360433459281921,0.9998948574066162
1,24,0.16011513769626617,0.5344447493553162,0.999845564365387
1,25,0.21200557053089142,0.6112365126609802,0.9839275479316711
1,26,0.17393285036087036,0.6092926859855652,0.963042140007019
1,27,0.1797589808702469,0.6790662407875061,0.9918990135192871
1,28,0.13489052653312683,0.6094692349433899,0.599759042263031
1,29,0.16949179768562317,0.6890852451324463,0.9396578669548035
1,30,0.12914572656154633,0.6034926772117615,0.3558151423931122
1,31,0.17922134697437286,0.6985670328140259,0.9910562634468079
1,32,0.12881049513816833,0.6458988189697266,0.6496610045433044
2,0,0.24800480902194977,0.3908839523792267,0.9998159408569336
2,1,0.2513459324836731,0.38385945558547974,0.9994635581970215
2,2,0.2546745836734772,0.383897066116333,0.9993888735771179
2,3,0.2575070559978485,0.38392210006713867,0.9995777606964111
2,4,0.24017268419265747,0.3835049867630005,0.99969881772995
2,5,0.23557503521442413,0.38348567485809326,0.9997060894966125
2,6,0.23147696256637573,0.38341328501701355,0.9997872114181519
2,7,0.25218942761421204,0.3866192698478699,0.9996322393417358
2,8,0.22093182802200317,0.3862767219543457,0.99957275390625
2,9,0.250609815120697,0.3983539640903473,0.9998793601989746
2,10,0.23855416476726532,0.3979269564151764,0.999902606010437
2,11,0.276274710893631,0.43658357858657837,0.999959409236908
2,12,0.16530382633209229,0.42218878865242004,0.9999531507492065
2,13,0.28044742345809937,0.4965067207813263,0.8358253836631775
2,14,0.10036100447177887,0.45082563161849976,0.99489825963974
2,15,0.27865102887153625,0.47877100110054016,0.9560946822166443
2,16,0.09715791046619415,0.5060446858406067,0.993788480758667
2,17,0.2802713215351105,0.47246408462524414,0.9649176597595215
2,18,0.087738998234272,0.5213929414749146,0.9865849018096924
2,19,0.28244245052337646,0.46454674005508423,0.9700942635536194
2,20,0.0973651334643364,0.5229564309120178,0.9887601137161255
2,21,0.2784471809864044,0.46597597002983093,0.9472839832305908
2,22,0.10471048951148987,0.5183104872703552,0.9810696840286255
2,23,0.22048699855804443,0.5356619358062744,0.9998824596405029
2,24,0.15891948342323303,0.5287963151931763,0.9998378157615662
2,25,0.20925724506378174,0.6118104457855225,0.9816185832023621
2,26,0.17851243913173676,0.5933034420013428,0.9658574461936951
2,27,0.173119455575943,0.6791315078735352,0.9918469190597534
2,28,0.13897056877613068,0.6167928576469421,0.6313884854316711
2,29,0.16169942915439606,0.6893758177757263,0.9397093653678894
2,30,0.13117621839046478,0.6157515645027161,0.3868086338043213
2,31,0.1759522557258606,0.6986294388771057,0.9906628727912903
2,32,0.13587640225887299,0.6560361981391907,0.6755380034446716
3,0,0.24611225724220276,0.38724789023399353,0.9998030662536621
3,1,0.24985173344612122,0.3803059756755829,0.9993857741355896
3,2,0.25293707847595215,0.380268931388855,0.9993014335632324
3,3,0.25574374198913574,0.38022270798683167,0.9995133876800537
3,4,0.23841670155525208,0.37999582290649414,0.9996590614318848
3,5,0.2339136302471161,0.37995094060897827,0.9996690154075623
3,6,0.22976908087730408,0.3798639178276062,0.9997561573982239
3,7,0.2509448230266571,0.38317298889160156,0.9995787143707275
3,8,0.2189750224351883,0.38252097368240356,0.9995112419128418
3,9,0.24837042391300201,0.39423850178718567,0.9998753070831299
3,10,0.23632818460464478,0.39402779936790466,0.9999005198478699
3,11,0.276312917470932,0.42962947487831116,0.9999613761901855
3,12,0.16375187039375305,0.41706758737564087,0.999955415725708
3,13,0.28777793049812317,0.4917154014110565,0.8507158756256104
3,14,0.09727692604064941,0.439866304397583,0.9936373233795166
3,15,0.27896085381507874,0.4711686074733734,0.9595819711685181
3,16,0.09747114032506943,0.4937956929206848,0.9922900795936584
3,17,0.2782262861728668,0.4669901430606842,0.9670402407646179
3,18,0.08835511654615402,0.509338915348053,0.9839882254600525
3,19,0.2810966968536377,0.45775842666625977,0.9717573523521423
3,20,0.09777925163507462,0.510235071182251,0.986421525478363
3,21,0.27820146083831787,0.4585297107696533,0.9494622349739075
3,22,0.10475513339042664,0.505466878414154,0.9771162271499634
3,23,0.22030992805957794,0.5319916009902954,0.9998622536659241
3,24,0.1589312106370926,0.5226849913597107,0.9998277425765991
3,25,0.20446482300758362,0.6127200722694397,0.9666213393211365
3,26,0.18599630892276764,0.583439290523529,0.965988039970398
